   IDX           HGT           PRE           TEM            He            H2           CH4          C2H2          C2H4          C2H6
     1             0          6708           300     135987.65     862345.68     1809.8765 4.9302469e-07 4.7981481e-08  0.0021024691
     2             5          5976         289.8     136010.71     862115.13     1809.9063 5.3721553e-07 5.0809906e-08  0.0022797858
     3            10          5305         279.5        136000     862545.45     1810.1818 5.9767273e-07 4.9309091e-08  0.0024792727
     4            15          4689         269.2     135974.64     862123.61     1809.8257 6.8106181e-07 4.5935024e-08  0.0027044374
     5            20          4122           259     135993.06      862185.6     1810.0607  8.019948e-07 3.3486557e-08  0.0029601041
     6            24          3706         250.7     136041.08     862184.87     1809.5238 9.1839402e-07 3.0242764e-08  0.0031895425
     7            27          3414         244.4     135968.38     862154.15     1810.2767  1.020751e-06 3.1205534e-08  0.0033784585
     8            30          3138         238.2     136015.93     862202.66     1809.7034 1.1421985e-06 3.3029446e-08  0.0035837787
     9            33          2877         231.8     136024.91     862195.53     1809.5874 1.2857302e-06 3.6514292e-08  0.0038082527
    10            36          2631         225.5     136030.28     862195.41     1809.7942 1.4584812e-06 4.1530636e-08  0.0040513366
    11            39          2402         219.4     136014.12      862221.1     1810.1601 1.6614143e-06 4.7573427e-08  0.0043186689
    12            42          2186         212.9     136021.51     862231.18     1810.4839 1.9045699e-06 5.4852151e-08  0.0046102151
    13            45          1983         206.4      135995.4     862252.23     1809.8248 2.2005171e-06 6.3904051e-08  0.0049324907
    14            48          1795         200.2     136001.23     862244.11     1810.0662 2.5673388e-06 7.5419424e-08  0.0052855164
    15            50          1676           196     135990.96     862169.14     1809.2318 2.8647515e-06 8.4683667e-08  0.0055422853
    16            52          1562         191.7     136003.39     862150.72     1810.3302 3.2193057e-06 9.5275191e-08  0.0058171041
    17            54          1455         187.3     136004.98     862271.19     1809.1345 3.6449262e-06 1.0717967e-07  0.0061116048
    18            56          1352         182.9     135997.01      862210.6     1809.9328 4.1635549e-06 1.2042569e-07  0.0064264376
    19            58          1255         178.8     135995.28     862116.44     1809.7954 4.7974036e-06 1.3507081e-07  0.0067663257
    20            60          1162         174.3     135990.89     862290.33     1809.8985 5.5808656e-06 1.4992752e-07  0.0071319114
    21            62          1074         170.1     135993.88     862234.86     1809.7529 6.5471244e-06 1.6503389e-07  0.0075267877
    22            64         990.4         165.4     136007.38     862148.46     1809.8202 7.7339788e-06 1.7816966e-07  0.0079529737
    23            66         911.5         161.3     136003.91     862237.42     1809.7215 9.1744016e-06 1.9120664e-07  0.0084147533
    24            68         837.3         156.9     136006.21      862131.4      1809.881 1.0905329e-05 2.0103466e-07  0.0089161924
    25            70           767         152.4     135984.64     862314.87     1809.6544 1.2956665e-05 2.0710368e-07  0.0094624246
    26            72         700.6         147.6     135998.84     862169.24     1809.8284 1.5347485e-05 2.0953766e-07   0.010055249
    27            74         638.6         144.3     135995.01      862133.5     1809.7318 1.8097318e-05 2.1883968e-07   0.010708047
    28            76         580.7         141.7     136005.39     862243.18     1809.7002 2.1263052e-05 2.3297407e-07    0.01142809
    29            78         527.2           139     135989.81     862081.51     1809.6798 2.4912664e-05 2.4636099e-07   0.012227074
    30            80         478.2         136.6     136001.58      862381.7     1809.5426 2.9097003e-05 2.6025237e-07   0.013119085
    31            82         432.4           134     136013.69     862275.45     1809.6664 3.3892216e-05 2.6963216e-07   0.014118905
    32            84         390.6         131.3     136009.28     862180.97     1809.7448 3.9350348e-05 2.7327146e-07   0.015229698
    33            86         351.7         128.3     136002.01     862034.24     1809.6677 4.5528701e-05   2.68429e-07   0.016475327
    34            88           316         125.1     136010.93     862295.08     1809.2896 5.2453552e-05 2.5907104e-07   0.017874317
    35            90         283.2         121.7     136002.37      862396.2     1809.6085 6.6666667e-05 2.7253855e-07   0.020771056
    36            92         253.1         118.3        136000     861935.48     1808.3871 0.00019135484 7.8129032e-07   0.046619355
    37            94         225.2           115      135940.8     862579.28      1807.611 0.00031895701 1.1719521e-06   0.073150106
    38            96         199.9         112.1     135913.31      862229.1     1806.5015 0.00044868421 1.4651703e-06     0.1004644
    39            98           177         109.9     135904.03     862039.42     1805.4841 0.00057737789 1.7249357e-06    0.12870608
    40           100         156.3         108.8     135926.99      862343.9     1804.0346 0.00070096061 2.0528338e-06    0.15821326
    41           102           138         108.7     135819.92     862331.45     1802.9578 0.00081568073 2.4989126e-06    0.18932144
    42           104           122           110     135831.67      862300.8     1801.5438  0.0009185757 3.2021912e-06    0.22248506
    43           106         107.9         111.9     135823.67     862315.73     1800.4866  0.0010094461 4.1004723e-06    0.25819379
    44           108          95.7         114.3     135789.65     862347.51     1798.5493   0.001089845 5.2044181e-06    0.29673591
    45           112         75.96         120.1     135726.76     862505.46     1795.7224  0.0012285028 7.9725011e-06    0.38345701
    46           117         57.73         126.9     135618.93     862560.68     1791.2621  0.0014332524 1.2220874e-05    0.51213592
    47           123         42.25         132.8     135488.07     862906.72     1784.3818  0.0018277657 1.9067245e-05    0.69804772
    48           129          31.3         137.5     135354.76     862947.24     1776.8344  0.0024366283 2.8878108e-05    0.92116434
    49           135          23.4         141.4        135196     863219.35     1767.3061  0.0033544621 4.2410342e-05     1.1843203
    50           141         17.63         144.6     134979.05     863322.39      1756.313  0.0047480467 6.0559393e-05     1.4913373
    51           148         12.75         147.8     134661.55     863658.19     1741.0786  0.0073099696 8.9694351e-05     1.9107057
    52           155          9.29           151     134305.59      864034.1      1724.254    0.01155037 0.00013280233     2.4029616
    53           162          6.82         154.4     133906.25        864375     1704.0625      0.018925 0.00020140625     2.9765625
    54           169         5.041         157.9     133463.04     864677.91     1680.5015   0.032421098 0.00031686122     3.6372676
    55           176         3.751         160.9     132918.89     865600.95     1653.0491   0.057649497  0.0005035524     4.3878034
    56           183         2.803           163     132263.24     865971.11     1621.9904    0.10369181 0.00077182986     5.2223114
    57           191         2.019         164.4      131392.6     867033.83     1581.4319    0.19703271  0.0011430819     6.2661571
    58           199         1.456           165     130476.94     868021.89     1534.6364    0.35355747  0.0014791243     7.3823299
    59           207         1.053         165.3     129351.83     869065.68     1481.6822    0.58898764  0.0016659441     8.5519185
    60           215        0.7612         165.4     128104.38     870425.91     1424.1152    0.89982004  0.0016133773      9.715057
    61           223        0.5507         165.4     126782.75     871890.55     1364.0133     1.2649254  0.0013743781     10.820896
    62           231        0.3986         165.4     125372.28     873424.97     1301.8328     1.6655212  0.0010853379     11.872852
    63           239        0.2888         165.4     123873.52     875098.81     1237.9447     2.0853755 0.00084426877      12.87747
    64           247        0.2092         165.4     122204.04     876595.74     1171.8494     2.5106383 0.00069230769     13.835243
    65           255        0.1517         165.4     120514.75     878386.51     1104.6057     2.9289585 0.00063184828     14.745635
    66           263          0.11         165.4     118679.95     880240.76      1035.907     3.3312578 0.00064238273     15.612287
    67           271       0.07979         165.4      116738.2     882403.43     965.95136     3.7110157  0.0006806867     16.437768
    68           279        0.0579         165.4     114668.77     884463.72     895.50473      4.057571 0.00066246057     17.223975
    69           287       0.04206         165.6        112500     886413.04     824.45652      4.373913 0.00056413043     17.972826
    70           295       0.03056         165.7     110179.64     889221.56     753.74251     4.6504491 0.00049603293     18.682635
